"user_id","birthdate","gender","married","has_children","home_country","home_city","home_airport","home_airport_lat","home_airport_lon","sign_up_date"
"9836","1989-01-24","F","false","true","usa","new york","JFK","40.64","-73.779","2021-06-20"
"9837","2004-04-26","M","false","false","canada","victoria","YYJ","48.647","-123.426","2021-06-20"
"9838","1990-07-10","M","false","false","usa","los angeles","LAX","33.942","-118.408","2021-06-20"
"9839","2004-06-25","F","false","false","canada","montreal","YMX","45.68","-74.039","2021-06-20"
"9840","1988-03-12","M","false","true","usa","san antonio","SAT","29.534","-98.47","2021-06-20"
"9841","1982-04-27","M","false","false","usa","philadelphia","PNE","40.082","-75.011","2021-06-20"
"9842","1960-06-20","F","true","true","usa","chicago","UGN","42.422","-87.868","2021-06-20"
"9843","1995-12-16","M","false","true","usa","san diego","NZY","32.699","-117.215","2021-06-20"
"9844","1995-08-07","F","false","false","usa","las vegas","LAS","36.08","-115.152","2021-06-20"
"9845","1986-11-05","F","false","false","canada","edmonton","YED","53.667","-113.467","2021-06-20"
"9846","1984-02-11","M","false","false","usa","lubbock","LBB","33.664","-101.823","2021-06-20"
"9847","1997-07-24","M","false","false","canada","quebec","YQB","46.788","-71.398","2021-06-20"
"9848","2006-06-27","F","false","false","usa","phoenix","LUF","33.535","-112.383","2021-06-20"
"9849","1971-07-09","M","false","true","usa","tulsa","TUL","36.198","-95.888","2021-06-20"
"9850","1954-06-18","M","false","false","usa","tacoma","TCM","47.138","-122.476","2021-06-20"
"9851","1975-04-19","F","false","true","usa","houston","HOU","29.645","-95.279","2021-06-20"
"9852","1981-05-09","F","false","true","usa","tucson","TUS","32.116","-110.941","2021-06-20"
"9853","1987-11-11","M","true","false","usa","los angeles","LAX","33.942","-118.408","2021-06-20"
"9854","1988-09-15","M","true","true","usa","reno","RNO","39.498","-119.768","2021-06-20"
"9855","1995-03-04","M","true","false","canada","vancouver","YVR","49.195","-123.182","2021-06-20"
"9856","1990-08-16","F","false","false","usa","miami","TNT","25.862","-80.897","2021-06-20"
"9857","1953-09-20","F","true","false","usa","austin","AUS","30.194","-97.67","2021-06-20"
"9858","1986-12-19","M","false","false","usa","milwaukee","MKE","42.947","-87.896","2021-06-20"
"9859","1985-09-25","F","false","true","usa","milwaukee","MKE","42.947","-87.896","2021-06-20"
"9860","1988-07-09","F","false","false","usa","columbus","LCK","39.814","-82.928","2021-06-20"
